song_id,duration_ms,explicit,artist_id,num_of_artists,danceability,energy,loudness,speechiness,tempo,outcome
0r7p2N6g6Pko9BDln2uav2,225826,FALSE,378dH6EszOLFShpRzAQkVM,1,0.535248,0.905288,-6.298,0.033498,128.005,0
6mNN8hFruSsvwn2K5SywoB,199855,FALSE,03jrbNTeSKP9m161juhm0h,1,0.517234,0.949748,-4.71,0.063555,110.128,0
6Vc5wAMmXdKIAM7WUoEb7N,229400,FALSE,5xKp3UyavIBUsGy3DQdXeF,2,0.518834,0.156305,-7.543,0.035548,139.997,0
4ZPdnqOaT0kkrsl9ppWc1V,216511,FALSE,64M6ah0SkkRsnPGtGiRAbb,1,0.502078,0.836549,-4.731,0.044756,144.108,0
6ZEcErIc64INOSgWfftQgv,256242,FALSE,5nki7yRhxgM509M5ADlN1p,2,0.491296,0.864338,-4.322,0.041836,172.016,0
0xBIkG5w87D9BqtqnhoyHj,183271,FALSE,66TrUkUZ3RM29dqeDQRgyA,1,0.534567,0.777289,-5.022,0.05105,147.971,0
5PuJ00qKGWqbGeeWbt8WJb,179650,FALSE,75HK7rgkmDMTnWwwmcN53N,2,0.421113,0.960908,-1.059,0.04275,174.046,0
1oNXCo9kRTZ8cv4bgMGeHv,239133,FALSE,22StZ8i5WMrUGlkoC9g85S,2,0.719691,0.591334,-8.932,0.079726,90.011,0
3P5CkJ2Hivngpn3e0Qp69S,173791,FALSE,6c1pBXHYjFcGQQNO5MMsdd,1,0.617596,0.906647,-6.637,0.330351,79.018,0
0XNPK9EEqponCFKVadWFkc,247403,FALSE,72rZmJbRFSY6IFJAysfOdr,1,0.827682,0.420042,-8.465,0.266002,106.672,0
5NetSTs4dgiR6GLrZOQcwJ,198852,FALSE,4obzFoKoKRHIphyHzJ35G3,1,0.653457,0.667561,-7.935,0.073098,100.061,0
3p1rlctWxcGybT4V6Qgfzf,190346,FALSE,04gDigrS5kc9YWfZHwBETP,1,0.590048,0.794344,-5.775,0.036002,135.024,0
4Sj264pvRSHWUMX0O8moKc,281608,FALSE,5he5w2lnU9x7JFhnwcekXX,2,0.576676,0.780169,-4.99,0.077447,150.023,0
7iAK4cPZiWcHUXW09d0BPu,192946,FALSE,2zd9YxlsQvA5mkZ1NarYVQ,1,0.454786,0.851657,-3.52,0.050786,179.832,0
3eqfEoBJPQDlUZQzOP0cly,188920,TRUE,02kJSzxNuaWGqwubyUba0Z,1,0.606035,0.553113,-7.34,0.11722,144.093,0
5bx7OY4mBCFatm0IHeyIu4,244000,FALSE,2o18h28enlHxj887tATc58,1,0.503888,0.952397,-6.147,0.079035,140.045,0
6ZljdfrT25eK1VQndSu0BZ,319663,TRUE,137W8MRPWKqSmrBGDBFSop,4,0.589531,0.636662,-6.172,0.191418,135.001,0
2PEmBHSJO6jewBOFmUpbdE,242546,FALSE,6cYpGRwsphKMAdkYw2KuXS,2,0.602826,0.944279,-4.947,0.054773,130.005,0
0TTYNndshDW1ATIZKHo62E,148906,FALSE,5ILMkt5lW4KAyTXMNYWaGF,1,0.557643,0.598905,-8.153,0.074212,138.097,0
6wsDIYDJH7SwdFkKFZQIX7,189386,FALSE,1HrQTLYfhM5innP6NioTQd,2,0.637968,0.820169,-4.3,0.035467,139.988,0
4M2eKo8ijF4ZUEFurjnpS6,206280,FALSE,5t8dw8yCWNAezW6wP3ZOGh,3,0.553632,0.85371,-5.106,0.067523,127.986,0
1MIgJFf65E7NpulRoeTAlt,246724,FALSE,7IeovKzVkfcG9mIJGNzTcT,2,0.272955,0.962992,-1.72,0.115694,149.826,0
4Tjh34RS4ACZ6f6srlDBg8,288200,TRUE,6l3HvQ5sa6mXTsMTB19rO5,1,?,?,?,?,?,0
6gR1JkRUcnuEl2dG7aRzpP,208973,FALSE,2retT7MFwHDVTeGKDdybEx,1,0.482574,0.465444,-7.753,0.058295,75.809,0
0BcLpX66X5fTdBSnsCMFyP,144813,FALSE,336vr2M3Va0FjyvB55lJEd,1,0.871578,0.526772,-8.24,0.402067,95.212,0
3M3vsfH1dLdduuQv1n8CLT,227040,FALSE,5ILMkt5lW4KAyTXMNYWaGF,2,0.641837,0.822705,-5.41,0.248557,165.622,0
6hMnzCnLs4rvlqUVWdTRIk,294452,FALSE,5he5w2lnU9x7JFhnwcekXX,2,0.402654,0.896827,-2.628,0.124868,149.95,0
1hsgNxOgZuUgs2SYsjfjTS,214826,FALSE,3XHatvGN7740pLPHUVgwA6,1,0.640789,0.828311,-8.41,0.056097,110.638,0
0WiaWFdISa6xNzSYYDkNug,172586,TRUE,7Kp7SzuRuNiPFCy7JIwnLx,1,0.836847,0.756833,-4.117,0.0508,142.018,0
64uoqeWxifISb05vSgRzV0,203558,FALSE,14vNE9iqS5eGAL6OogiN8g,2,0.394837,0.641863,-5.849,0.069643,109.876,0
4tdTnMZx4VIYdXAxL499IH,228640,TRUE,7bXgB6jMjp9ATFy66eO08Z,2,0.693512,0.716488,-4.741,0.056342,122.015,0
0vRa2wBzM3pDKGttQMTzP7,272718,TRUE,7Kp7SzuRuNiPFCy7JIwnLx,5,0.887074,0.68041,-4.069,0.070706,142.06,0
7eLjqFyvckSm3iIiVSmveP,260000,FALSE,42IUN9kTPdUdI1kre6L7Wk,1,0.838288,0.811628,-3.397,0.066632,120.085,0
3dVIB9lRMtWdWxklInA5ro,218616,FALSE,152y903Cqyk9GVl6amOtuD,1,0.658864,0.869234,-5.343,0.077612,100.008,0
7jNtwEkDbsR93Tg9DVb3bp,255933,FALSE,0PwLAFedFpxos2G2tlZ2ES,3,0.605463,0.751867,-5.082,0.387338,176.039,0
0O1KhSEssdd98zih4c7e1O,268920,FALSE,54Xuca1P5nDqfKYZGDfHxl,1,0.531358,0.871306,-7.492,0.064228,127.984,0
3RXr49TkL3wYHB7JJTnyn5,355333,FALSE,336vr2M3Va0FjyvB55lJEd,1,0.795838,0.435549,-11.169,0.219859,105.707,0
4bTP7W5HEJYG0jR6EMfNka,204044,TRUE,5Z5jUyiNvFaqp0EVyLNf0p,3,0.810168,0.673036,-7.142,0.296535,123.964,0
31fLslS3QRCSKwTJ3RiMSW,161613,FALSE,7ia4FaCVsbXvhVwagCJk7l,1,0.450535,0.901544,-3.781,0.039806,143.045,0
2yx7XX9v7M6yhm2fBG7K3E,289346,FALSE,336vr2M3Va0FjyvB55lJEd,1,0.544623,0.644133,-8.111,0.4152,176.176,0
0IeZT9uoMS1ngWBMtaVSue,223680,FALSE,2UHbIBWBGC9hES26XQnmWn,1,0.468047,0.750074,-6.833,0.152431,175.675,0
4rfVYs5L7dCS5a3icH2brY,200624,FALSE,3mcmXmpjr301UeCF2CRZLu,2,0.470276,0.927824,-3.793,0.035268,192.01,0
7HRbgpb696qbFwNJZkNSc6,381546,FALSE,5aIqB5nVVvmFsvSdExz408,2,0.425367,0.018099,-31.487,0.055943,129.464,0
