duration_ms,explicit,artist_id,num_of_artists,danceability,energy,loudness,speechiness,tempo,acousticness,key,liveness,mode,time_signature,valence,outcome
257266,FALSE,5Pwc4xIPtQLFEnJriah9YJ,1,0.657541,0.676278,-6.31,0.038576,121.974,0.070389,1,0.213879,0,4,0.463445,?
215672,FALSE,6jJ0s89eD6GaHleKKya26X,2,0.637441,0.582513,-7.245,0.04487,131.908,0.002233,6,0.185831,1,4,0.354639,?
208960,FALSE,3b8QkneNDz4JHKKKlLgYZg,1,0.473438,0.939405,-3.381,0.03444,147.979,0.016334,10,0.104334,1,4,0.87468,?
303826,FALSE,60d24wfXkVzDSfLS6hyCjZ,1,0.674919,0.868354,-6.36,0.039248,128.007,0.001068,1,0.374253,1,4,0.037338,?
169293,FALSE,25uiPmTg16RbhZWAqwLBy5,1,0.558518,0.875226,-3.433,0.142084,183.866,0.066367,4,0.157738,1,4,0.529537,?
193826,FALSE,0kkxsdcaWmWU2yWAqclDh4,1,0.54582,0.768794,-4.803,0.04403,174.109,0.004562,5,0.176724,0,4,0.500756,?
235382,FALSE,6eUKZXaKkcviH0Ku9w2n3V,1,0.793175,0.668626,-4.456,0.046539,120.008,0.295133,8,0.09454,0,4,0.935289,?
266533,TRUE,31TPClRtHm23RisEBtV3X7,1,0.386313,0.716044,-6.298,0.123555,85.148,0.328021,2,0.344446,1,4,0.490464,?
231906,FALSE,2iojnBLj0qIMiKPvVhLnsH,1,0.696268,0.479349,-6.691,0.040659,97.074,0.177503,9,0.469375,0,4,0.341422,?
223546,FALSE,6jJ0s89eD6GaHleKKya26X,1,0.666076,0.765907,-4.796,0.031607,89.986,0.007498,7,0.416,0,4,0.392528,?
268453,TRUE,3KV3p5EY4AvKxOlhGHORLg,2,0.644645,0.479391,-7.214,0.212366,130.831,0.464635,2,0.110157,0,5,0.36948,?
189973,FALSE,04gDigrS5kc9YWfZHwBETP,1,0.736411,0.704337,-5.896,0.029685,120.019,0.018983,1,0.083991,0,4,0.846494,?
199855,FALSE,03jrbNTeSKP9m161juhm0h,1,0.517234,0.949748,-4.71,0.063555,110.128,9.70E-05,10,0.301021,1,4,0.647623,?
283593,FALSE,6H3NzBrqsSazmWOjCZiWf5,4,0.842572,0.827904,-5.762,0.112192,126.01,0.01172,5,0.090161,0,4,0.454677,?
275053,FALSE,2LSJrlndCuTpdEluvYHc2E,1,0.491069,0.270729,-15.149,0.030153,153.034,0.891391,5,0.279524,1,4,0.149729,?
227906,FALSE,2mV8aJphiSHYJf43DxL7Gt,1,0.816874,0.65431,-6.786,0.192669,95.984,0.163515,8,0.210208,1,4,0.610442,?
274825,TRUE,1FvjvACFvko2Z91IvDljrx,1,0.525915,0.628839,-9.58,0.324615,82.362,0.316488,10,0.105598,1,4,0.419984,?
255067,TRUE,1FvjvACFvko2Z91IvDljrx,2,0.560408,0.412035,-11.625,0.108578,119.802,0.367267,9,0.113069,1,4,0.077034,?
172714,FALSE,5DuzBeOgFwViFcv00Q5PFb,1,0.875573,0.76856,-6.35,0.181538,105.004,0.038906,11,0.072152,1,4,0.793367,?
183597,FALSE,4GO3ufZJ7YsEnQ3PiML2Dg,1,0.850531,0.555636,-12.353,0.117743,82.142,0.097906,7,0.088763,0,4,0.964768,?
205195,FALSE,5DuzBeOgFwViFcv00Q5PFb,1,0.785378,0.654836,-5.298,0.164384,90.04,0.099604,10,0.042272,0,4,0.841566,?
220357,FALSE,5DuzBeOgFwViFcv00Q5PFb,1,0.623081,0.691175,-6.654,0.038434,90.149,0.161005,0,0.258411,1,4,0.562046,?
253824,TRUE,1FvjvACFvko2Z91IvDljrx,1,0.548024,0.567905,-7.968,0.409813,136.736,0.524595,6,0.072967,0,4,0.24186,?
239880,FALSE,7zliF6Q946WznVk3ZMYhZX,1,0.912546,0.781946,-8.783,0.243039,111.714,0.160457,11,0.062043,0,4,0.766008,?
250175,FALSE,52VNnZqIIEwO7UM7Yzvr1L,1,0.501798,0.857873,-4.734,0.037691,119.357,0.182424,4,0.1528,1,4,0.433699,?
410322,FALSE,3FcrDo2TeEXNjKyafHeQR1,3,0.790767,0.861624,-8.209,0.040921,123.988,0.00036,0,0.060459,1,4,0.242343,?
183466,FALSE,27AzFtMZhRN78bAMPntbpF,1,0.348464,0.757711,-8.971,0.118422,152.658,0.002943,0,0.3159,1,4,0.875043,?
303000,FALSE,2uanrLTaDz0PMCuuO2X9qz,1,0.967334,0.672414,-10.186,0.063896,115.115,0.003691,2,0.034637,1,4,0.736862,?
260160,TRUE,1FvjvACFvko2Z91IvDljrx,1,0.642588,0.607819,-9.713,0.131102,125.472,0.259778,8,0.11167,1,3,0.281719,?
219338,TRUE,1FvjvACFvko2Z91IvDljrx,1,0.528857,0.603494,-9.475,0.332769,97.923,0.222316,1,0.116753,1,4,0.227565,?
228853,FALSE,0mmeLMi9fgpamEuOWYGjfd,1,0.66444,0.972558,-2.037,0.040321,132.99,0.12246,11,0.191769,0,4,0.488791,?
239349,TRUE,6MwPCCR936cYfM1dLsGVnl,1,0.5507,0.966067,-5.408,0.084573,125.032,4.80E-05,3,0.264422,0,4,0.388347,?
249178,FALSE,2uanrLTaDz0PMCuuO2X9qz,1,0.840794,0.559548,-9.872,0.045109,135.043,0.123052,8,0.119792,1,4,0.970647,?
227546,FALSE,1ZdExG4ySeqy04z4DwAXgI,1,0.610096,0.859512,-7.444,0.030972,126.518,0.09548,0,0.212654,1,4,0.683375,?
179626,FALSE,7oLhAu3ec1C2uoUedZ96P6,1,0.641668,0.879305,-5.611,0.031944,124.831,0.11492,9,0.07343,1,4,0.764421,?
230948,TRUE,3Mcii5XWf6E0lrY3Uky4cA,1,0.753426,0.807795,-8.305,0.148929,92.052,0.000739,10,0.467983,0,4,0.449174,?
272666,FALSE,7oLhAu3ec1C2uoUedZ96P6,1,0.584347,0.742972,-4.856,0.04817,111.922,0.760387,7,0.021946,1,4,0.934126,?
215382,FALSE,3AVfmawzu83sp94QW7CEGm,1,0.519687,0.630882,-7.986,0.246899,186.036,0.156665,8,0.207556,1,4,0.378477,?
192133,FALSE,7oLhAu3ec1C2uoUedZ96P6,1,0.526887,0.60354,-6.37,0.030057,119.947,0.308499,2,0.086302,1,4,0.768599,?
224000,FALSE,3e7oahOKyWsUwRD6v4opIc,2,0.609665,0.669447,-7.256,0.040442,134.958,0.140587,4,0.103884,1,4,0.884734,?
210253,FALSE,2LSJrlndCuTpdEluvYHc2E,1,0.364412,0.613877,-7.727,0.032093,78.004,0.436479,1,0.072609,1,4,0.432222,?
331874,FALSE,1N9n8MSxrr4Emhb566493b,2,0.72642,0.930429,-3.544,0.152052,128.018,0.002256,9,0.059534,0,4,0.3369,?
234932,TRUE,2CmaKO2zEGJ1NWpS1yfVGz,1,0.50137,0.846498,-4.661,0.121472,161.622,0.001671,8,0.228725,1,4,0.423591,?
209306,FALSE,7oLhAu3ec1C2uoUedZ96P6,1,0.895347,0.627018,-6.73,0.037925,132.977,0.011439,7,0.045776,1,4,0.965825,?
146426,FALSE,3zUCHzvbTmCOZoY750yHPB,1,0.756276,0.380142,-9.392,0.039665,113.938,0.86249,7,0.265813,1,4,0.34918,?
274973,FALSE,2LSJrlndCuTpdEluvYHc2E,1,0.189556,0.09919,-17.825,0.041154,78.118,0.951514,1,0.111639,1,3,0.092423,?
248000,FALSE,2uanrLTaDz0PMCuuO2X9qz,1,0.853745,0.449941,-13.805,0.458207,157.98,0.320804,8,0.201106,1,4,0.848787,?
225930,FALSE,0u3d5PM2FuEuG5QuUdt8mT,1,0.51151,0.754976,-5.395,0.03098,96.654,0.001366,4,0.189297,1,4,0.322152,?
214213,FALSE,5s6TJEuHTr9GR894wc6VfP,1,0.486507,0.325745,-9.702,0.034226,127.198,0.643678,10,0.10622,1,4,0.297811,?
300253,FALSE,6eUKZXaKkcviH0Ku9w2n3V,1,0.660407,0.315548,-11.567,0.036391,91.207,0.529297,3,0.103978,0,4,0.550705,?
