song_name,song_id,artists,album,duration_ms,explicit,artist_id,num_of_artists
Latch,51ODNNDZm21HU7wI7cccRr,"['Disclosure', 'Sam Smith']",Settle (Special Edition),255631,False,6nS5roXSAGhTGr34W6n7Et,2
Summer,6YUTL4dYpB9xZO5qExPf05,['Calvin Harris'],Motion,222533,False,7CajNmpbOovFoOoasH2HaY,1
All Me,5ngydCLbzCEdtu8SEOXhPU,"['Drake', '2 Chainz', 'Big Sean']",Nothing Was The Same (Deluxe),271573,True,3TVXtAsR1Inumwj472S9r4,3
Stay High - Habits Remix,5JCi3pyggvk4B0yd0BK3ow,"['Tove Lo', 'Hippie Sabotage']",Queen Of The Clouds,258386,False,4NHQUGzhtTLFvgF5SZesLK,2
Holy Grail,1olNHIIVl4EVwIEPGYIR7G,"['JAY Z', 'Justin Timberlake']",Magna Carta... Holy Grail,338413,True,3nFkdlSjzX9mRTtwJOzDYB,2
Young And Beautiful,2nMeu6UenVvwUktBCpLMK9,['Lana Del Rey'],Young And Beautiful,236053,False,00FQb4jTyendYWaN8pK0wa,1
Waves - Robin Schulz Radio Edit,5Sf3GyLEAzJXxZ5mbCPXTu,['Mr. Probz'],Waves,208133,False,33W1pnW9zScZtYTnAoWnOT,1
Can't Remember to Forget You,4Uc6BcPeBKfZUlX6jhumGv,"['Shakira', 'Rihanna']",Shakira. (Deluxe Version),206866,False,0EmeFodog0BfCgMzAIvKQp,2
Wild Wild Love,6DcDdDevI94Dh4vc5anXBE,"['Pitbull', 'G.R.L.']",Wild Wild Love,202197,False,0TnOYISbd1XYRBk9myaseg,2
Best Day Of My Life,5j9iuo3tMmQIfnEEQOOjxh,['American Authors'],"Oh, What A Life",194240,False,0MlOPi3zIDMVrfA9R04Fe3,1
Anaconda,1blo7jFYjDyBkD43T4cvjY,['Nicki Minaj'],Anaconda,260826,True,0hCNtLu0JehylgoiP8L4Gh,1
Sail,0ZR9NFol0hcgLSVJoQmREl,['AWOLNATION'],Megalithic Symphony,259102,False,4njdEjTnLfcGImKZu1iSrz,1
Show Me,2q6j0nlwgKlYy7xgrria4S,"['Kid Ink', 'Chris Brown']",My Own Lane,217800,True,6KZDXtSj0SzGOV705nNeh3,2
Wasted,2CAK2t1reUgPK6OMgAMURB,"['Ti\xc3\xabsto', 'Matthew Koma']",A Town Called Paradise,190013,False,2o5jDhtHVPhrJdv3cEQ99Z,2
Say Something,2N8F9mupXs9oyCLeerRfCw,"['A Great Big World', 'Christina Aguilera']",NOW That's What I Call Music Vol. 49,227173,False,5xKp3UyavIBUsGy3DQdXeF,2
F**kin' Problems,4XoP1AkbOurU9CeZ2rMEz2,"['A$AP Rocky', 'Drake', '2 Chainz', 'Kendrick Lamar']",LONG.LIVE.A$AP (Deluxe Version),233786,True,13ubrt8QOOCPljQ2FL1Kca,4
Latch - Acoustic,7cG68oOj0pZYoSVuP1Jzot,['Sam Smith'],In The Lonely Hour (Deluxe),223429,False,2wY79sveU1sp5g7SokKOiI,1
Rude,6RtPijgfPKROxEzTHNRiDp,['Magic!'],Don't Kill the Magic,224840,False,0DxeaLnv6SyYk2DOqkLO8c,1
Pompeii,3gbBpTdY8lnQwqxNCcf795,['Bastille'],Bad Blood,214147,False,7EQ0qTo7fWT7DPxmxtSYEc,1
This Is How We Roll,2TR7A4ulH9R1PNwMyd8o8U,"['Florida Georgia Line', 'Luke Bryan']",Here's To The Good Times...This Is How We Roll,220906,False,3b8QkneNDz4JHKKKlLgYZg,2
Do I Wanna Know?,2UzMpPKPhbcC8RbsmuURAZ,['Arctic Monkeys'],AM,272386,False,7Ln80lUS6He07XvHI8qqHH,1
Rap God,6sDQ4uiWw9OdVrCXFLSlZt,['Eminem'],The Marshall Mathers LP2 (Deluxe),363521,True,7dGJo4pcD2V6oG8kP0tJRR,1
Bang Bang,3SaIsrEzrQGDcG1jCeaK8q,"['Jessie J', 'Ariana Grande', 'Nicki Minaj']",Sweet Talker (Deluxe Version),199386,False,2gsggkzM5R49q6jpPvazou,3
"Hold On, We're Going Home",6jdOi5U5LBzQrc4c1VT983,"['Drake', 'Majid Jordan']",Nothing Was The Same (Deluxe),227880,False,3TVXtAsR1Inumwj472S9r4,2
Let Her Go,7DFNE7NO0raLIUbgzY2rzm,['Passenger'],All The Little Lights,252866,False,0gadJ2b9A4SKsB1RFkBb66,1
Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,['The Neighbourhood'],I Love You.,240400,False,77SW9BnxLY8rJ0RciFqkHh,1
Drunk in Love,5EmCpD8tUj78VW3kgaEjME,"['Beyonc\xc3\xa9', 'JAY Z']",BEYONCÉ,323480,True,6vWDO969PvNqNYHIOW5v0m,2
Cool Kids,13P5rwmk2EsoFRIz9UCeh9,['Echosmith'],Talking Dreams (Deluxe Version),237626,False,1PbBg2aYjWLKRk84zJK15x,1
All of Me,3U4isOIWM3VvDubwSI3y7a,['John Legend'],Love In The Future,269560,False,5y2Xq6xcjJb2jVM54GHK3t,1
Burn,0xMd5bcWTbyXS7wPrBtZA6,['Ellie Goulding'],Halcyon Days,231211,False,0X2BH1fck6amBIoJhDVmmJ,1
Break Free,1T7Htpf1kEvU9Adf8J0ekk,"['Ariana Grande', 'Zedd']",My Everything (Deluxe),214840,False,66CXWjxzNUsdJxJ2JdwvnR,2
Money On My Mind,3PRLM4FzhplXfySa4B7bxS,['Sam Smith'],In The Lonely Hour (Deluxe Edition),192670,False,2wY79sveU1sp5g7SokKOiI,1
Team,3G6hD9B2ZHOsgf4WfNu7X1,['Lorde'],Pure Heroine,193058,False,163tK9Wjr9P9DmM0AVK7lm,1
Can't Hold Us - feat. Ray Dalton,3bidbhpOYeV4knp8AIu8Xn,['Macklemore & Ryan Lewis'],The Heist,258342,False,5BcAKTbp20cv7tC5VqPFoC,1
2 On,3jVtllWS5CFFWLQng8sKsr,"['Tinashe', 'Schoolboy Q']",Aquarius,227000,True,0NIIxcxNHmOoyBx03SfTCD,2
Am I Wrong,1fidCEsYlaVE3pHwKCvpFZ,['Nico & Vinz'],Black Star Elephant,247520,False,0awl5piYwO0CDTHEkCjUhn,1
Classic,6FE2iI43OZnszFLuLtvvmg,['MKTO'],MKTO,175426,False,2l35CQqtYRh3d8ZIiBep4v,1
Turn Down for What,67awxiNHNyjMXhVgsHuIrs,"['DJ Snake', 'Lil Jon']",Turn Down for What,213733,False,540vIaP2JwjQb9dm3aArA4,2
The Monster,5U8hKxSaDXB8cVeLFQjvwx,"['Eminem', 'Rihanna']",The Marshall Mathers LP2 (Deluxe),250188,True,7dGJo4pcD2V6oG8kP0tJRR,2
Counting Stars,519uJbE3zyKLlToVA65PrP,['OneRepublic'],Native (Deluxe),257266,False,5Pwc4xIPtQLFEnJriah9YJ,1
Dark Horse,4kgsK0fftHtg9gZOzkU5T2,"['Katy Perry', 'Juicy J']",PRISM (Deluxe),215672,False,6jJ0s89eD6GaHleKKya26X,2
Cruise,0i5el041vd6nxrGEU8QRxy,['Florida Georgia Line'],Here's To The Good Times,208960,False,3b8QkneNDz4JHKKKlLgYZg,1
Animals,6JEntXLt4z98CcDtIH9sU7,['Martin Garrix'],Animals,303826,False,60d24wfXkVzDSfLS6hyCjZ,1
Boom Clap,63bniwRWWFGoasyhX2eQHJ,['Charli XCX'],Boom Clap,169293,False,25uiPmTg16RbhZWAqwLBy5,1
Me And My Broken Heart,2rJojRundKuKFgbvmCAYva,['Rixton'],Me And My Broken Heart,193826,False,0kkxsdcaWmWU2yWAqclDh4,1
Sing,6K8qKeWo5MsFED7wCR6Kop,['Ed Sheeran'],x (Deluxe Edition),235382,False,6eUKZXaKkcviH0Ku9w2n3V,1
Not a Bad Thing,1A2UmLDZzDmpdzUjEkCc3z,['Justin Timberlake'],Not a Bad Thing,266533,True,31TPClRtHm23RisEBtV3X7,1
Na Na,07wk7gOL46W63TNxCxwATE,['Trey Songz'],Trigga (Deluxe),231906,False,2iojnBLj0qIMiKPvVhLnsH,1
Roar,3bDGwl0X3EjQmIyFD1uif5,['Katy Perry'],PRISM (Deluxe),223546,False,6jJ0s89eD6GaHleKKya26X,1
Don't Tell 'Em,1eN27pPLzE59zuFbY8SsiT,"['Jeremih', 'YG']",Don't Tell 'Em,268453,True,3KV3p5EY4AvKxOlhGHORLg,2
Maps,0DKT3yIip1M0W0J1HYS1ru,['Maroon 5'],V (Deluxe),189973,False,04gDigrS5kc9YWfZHwBETP,1
