song_name,song_id,artists,album,duration_ms,explicit,artist_id,num_of_artists,danceability,energy,loudness,speechiness,tempo,song_title_en
La conocí bailando - feat. K-Narias [Radio edit],7fZJWsOEdr8aP8okxyTBGd,['dr. Bellido'],La conocí bailando (feat. K-Narias),181115,False,52wHLjXBRtdLP9VXX4Uosn,1,0.711385,0.841487,-3.803,0.032181,104.033,La conocí bailando (feat. K-Narias) [Radio edit]
F**k It All,2DwAj9LYTaI3NSXwPiXAY5,['Elle Varner'],F**k It All,203440,True,7zmk5lkmCMVvfvwF3H8FWC,1,0.306133,0.657664,-7.873,0.061115,139.946,F**k It All
"Miss You, Goodbye",0fLIbCP1rBFjgRFTd5nu5x,['K. Michelle'],Anybody Wanna Buy A Heart?,183400,False,2retT7MFwHDVTeGKDdybEx,1,0.433565,0.585774,-6.772,0.048285,159.932,"Miss You, Goodbye"
All K,3rB8GQVm1zj6fJ0CTHeiZm,['Lil Dicky'],All K,199549,True,1tqhsYv8yBBdwANFNzHtcr,1,0.926067,0.340377,-11.178,0.468638,140.004,All K
중독 Overdose,7MirWQBco3ZiuwvcdYaNSe,['EXO-K'],The 2nd Mini Album '중독 Overdose',205611,False,6wPBIyIIMxoqgux29bGF8I,1,0.604697,0.911897,-1.925,0.121049,163.852,Overdose
Busy Baby (feat. Nina K),2YrbtaW8rJzaHrBjdf9EZE,"['Tomas Barfod', 'Nina K.']",Love Me,273333,False,5hpBysnp54w1yxvpw2WhAF,2,0.700523,0.560876,-8.794,0.031117,120.007,Busy Baby
Last All Night (Koala) [feat. KStewart] - Toyboy & Robin Remix,7Lgg4sQpyFimCAQxSoxUVf,"['Oliver Heldens', 'K. Stewart']",Last All Night (Koala) [feat. KStewart] [Remixes],312839,False,5nki7yRhxgM509M5ADlN1p,2,0.785365,0.500391,-8.812,0.04955,124.036,Last All Night (Koala) [feat. KStewart] [Toyboy & Robin Remix]
Money Baby,0828kFWjAE5Da3XtE998iw,"['K CAMP', 'Kwony Ca$h']",Money Baby,219120,True,5bgfj5zUoWpyeVatGDjn6H,2,0.729729,0.513813,-5.85,0.037004,134.983,Money Baby
"Adagio in B Minor, K. 540",4Xwx60tQYJubmNNGd0UBbF,['Walter Klien'],Mozart: Complete Works for Solo Piano (The VoxBox Edition),475773,False,2OQorEVvzvGCM4J4PHa6di,1,0.476862,0.014339,-28.947,0.07608,127.246,Adagio In B Minor K. 540
Judge Me,5tviMv6hO6wZQpnb1jsaw0,['K. Michelle'],Anybody Wanna Buy A Heart?,188800,False,2retT7MFwHDVTeGKDdybEx,1,0.395307,0.638643,-5.759,0.037709,205.489,Judge Me
