song_name,artists,album,duration_ms,popularity,explicit,available_markets
Hell Of A Night,['Schoolboy Q'],Oxymoron (Deluxe),272453,58,True,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'UY']"
Build a Girl,['The Fooo Conspiracy'],Off the Grid,185080,51,False,"[u'FI', u'NO', u'SE']"
Just A Little Bit Of Your Heart,['Ariana Grande'],My Everything (Deluxe),232586,68,False,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'UY']"
I'm A Mess,['Ed Sheeran'],x (Deluxe Edition),244573,78,False,"[u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CA', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IT', u'LT', u'LU', u'LV', u'MT', u'MX', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'US', u'UY']"
Ja ä inte bitter,"['Rolandz', 'Tony Rickardsson']",Ja ä inte bitter,242546,44,False,"[u'DK', u'EE', u'FI', u'IS', u'LT', u'LV', u'NO', u'SE']"
Pretend,"['Tinashe', 'A$AP Rocky']",Aquarius,232786,65,True,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CA', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MX', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'US', u'UY']"
Like a Drum - The Chainsmokers Remix,['Guy Sebastian'],Like a Drum,201647,53,False,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CA', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MX', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'US', u'UY']"
U Got a Message,['Magic Trix'],U Got a Message,285150,51,False,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CA', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LU', u'MC', u'MT', u'MX', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'UY']"
Multiply,"['A$AP Rocky', 'Juicy J']",Multiply,223053,69,True,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CA', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MX', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'US', u'UY']"
I'm Not The Only One,"['Sam Smith', 'A$AP Rocky']",I'm Not The Only One,222329,70,False,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'UY']"
