song_name,song_id,artists,album,duration_ms,explicit,artist_id,num_of_artists,danceability,energy,loudness,speechiness,tempo,acousticness,key,liveness,mode,time_signature,valence,song_title_en,outcome
"Shell Shocked (feat. Kill The Noise & Madsonik) - From ""Teenage Mutant Ninja Turtles""",7zBQRGpYImAdIZc97FNj3V,"['Juicy J', 'Wiz Khalifa', 'Ty Dolla $ign', 'Madsonik', 'Kill The Noise']",Shell Shocked (feat. Kill The Noise & Madsonik),206566,FALSE,5gCRApTajqwbnHHPbr2Fpi,5,0.581141,0.81367,-5.608,0.092769,165.026,0.01274,6,0.272648,0,4,0.433112,"Shell Shocked (feat. Kill The Noise & Madsonik) [From ""Teenage Mutant Ninja Turtles""]",0
Light Years Away,3pF1vsGZViOGidoMfUvElA,"['Ti\xc3\xabsto', 'DBX']",A Town Called Paradise,223147,FALSE,2o5jDhtHVPhrJdv3cEQ99Z,2,0.520347,0.92688,-3.846,0.106575,127.972,0.005785,0,0.255891,1,3,0.436845,Light Years Away,0
Every Other Freckle,0HV1cGoX5ASBlPA1pqH8fG,['alt-J'],This Is All Yours,216004,FALSE,3XHO7cRUPCLOr6jwp8vsx5,1,0.54278,0.706578,-7.636,0.070026,143.915,0.614057,2,0.117674,1,4,0.500277,Every Other Freckle,0
L,4yX50PMifhGzVEo1wv3guc,['Tycho'],Awake,277559,FALSE,5oOhM2DFWab8XhSdQiITry,1,0.548847,0.662564,-7.555,0.046351,114.494,0.030946,5,0.093802,0,4,0.25354,L,0
Zombie,65ygZvG52p7DBZkIUKvDpL,['Jamie T'],Zombie,246186,FALSE,3Rsr4Z96O6U3lToOiV3zBh,1,0.546021,0.911269,-4.639,0.072852,145.205,0.013545,4,0.493369,1,4,0.671184,Zombie,0
Prayer,6YOM2xqlJEdy35htURX7DS,"[""D'Angelo""]",Black Messiah,272933,FALSE,336vr2M3Va0FjyvB55lJEd,1,0.689825,0.601666,-8.43,0.088675,82.85,0.0588,1,0.064906,1,4,0.788405,Prayer,0
H In New England,3o3WCZQBWUwEEcwjFauF9d,['Max Richter'],24 Postcards In Full Colour,110253,FALSE,2VZNmg4vCnew4Pavo8zDdW,1,0.229972,0.187487,-18.858,0.049161,208.301,0.993125,0,0.111715,0,3,0.479852,H In New England,0
Sleep on It,3jZXgXcXX4UFtOJZGDabUt,['B Robin'],Sleep on It,210240,FALSE,1HrQTLYfhM5innP6NioTQd,1,0.700133,0.867344,-3.962,0.047661,115.115,0.01728,5,0.256008,0,4,0.894461,Sleep On It,0
U - W&W Remix,4qucbtiqPvFEr1SJpcDhlc,"['Gareth Emery', 'Bo Bruce']",Armada Ibiza 2014,279692,FALSE,0hprEC0nsWuQPSHag1O2Vi,2,0.616969,0.952596,-2.848,0.042046,129.979,0.008054,7,0.126057,1,4,0.038566,U (W&W Remix),0
Buy A Heart,6CiZFgpDbKfkot1pAgczdp,"['Nicki Minaj', 'Meek Mill']",The Pinkprint (International Deluxe Explicit),255466,TRUE,0hCNtLu0JehylgoiP8L4Gh,2,0.558826,0.448082,-10.41,0.197293,119.842,0.163884,1,0.282091,1,4,0.377944,Buy A Heart,0
She's In A Rock 'n' Roll Band,19qMjXiPwEfVmzKAk0xd06,['Doug Seegers'],Going Down To The River,209786,FALSE,2WO6GcXH1rWwzge9wOnuxm,1,0.536173,0.833336,-6.687,0.072724,131.98,0.150727,9,0.228119,0,4,0.548468,She's In A Rock 'n' Roll Band,0
In A Week,64LJIgigkKPqqgnSO4bPR3,"['Hozier', 'Karen Cowley']",Hozier (Deluxe),318493,FALSE,2FXC3k01G6Gw61bmprjgqS,2,0.464625,0.268723,-12.14,0.031135,131.391,0.790665,0,0.138778,1,3,0.190503,In A Week,0
No Flex Zone - Remix,4N38qaoxMmFaq87W539MRn,"['Rae Sremmurd', 'Nicki Minaj', 'Pusha T']",No Flex Zone (Remix),319723,TRUE,7iZtZyCzp3LItcw1wtPI3D,3,0.938724,0.530229,-5.561,0.173226,120.068,0.011939,1,0.137507,1,4,0.305748,No Flex Zone - Remix,0
2 On,3jVtllWS5CFFWLQng8sKsr,"['Tinashe', 'Schoolboy Q']",Aquarius,227000,TRUE,0NIIxcxNHmOoyBx03SfTCD,2,0.689449,0.59346,-9.416,0.115254,101.029,0.062666,9,0.577214,1,4,0.370598,2 On,0
Judge Me,5tviMv6hO6wZQpnb1jsaw0,['K. Michelle'],Anybody Wanna Buy A Heart?,188800,FALSE,2retT7MFwHDVTeGKDdybEx,1,0.395307,0.638643,-5.759,0.037709,205.489,0.046055,6,0.12279,1,3,0.763867,Judge Me,0
Sky Blue,1KETJlkpauMUL1XOAg2I0H,['Devin Townsend Project'],ZÂ_,232773,FALSE,54Xuca1P5nDqfKYZGDfHxl,1,0.531636,0.85051,-6.844,0.038598,119.973,0.001438,11,0.20146,1,4,0.470187,Sky Blue,0
I F*ck Wit You Girl,2u2fseIt359oKZoq6TxM6C,['Rich Homie Quan'],I Promise I Will Never Stop Going In (Deluxe Edition),227194,TRUE,5lHRUCqkQZCIWeX7xG4sYT,1,0.590016,0.399459,-11.509,0.184875,140.001,0.434522,7,0.091254,1,4,0.279709,I F*ck Wit You Girl,0
Made Me (Remix),75Y0HwWBQAJInFaKb10Ogh,"['Snootie Wild', 'K CAMP', 'Jeremih', 'Boosie Badazz']",Made Me (Remix),241000,TRUE,1YXg2Chm7UfZAUAkjJEpqK,4,0.789735,0.649765,-6.113,0.160696,146.046,0.028528,10,0.110983,0,4,0.343824,Made Me (Remix),0
Se deg gÃ¥,7ekOZMmpvWja1rywbmakGQ,"['OnklP & De Fjerne Slektningene', 'Admiral P']",Slekta II,212946,FALSE,5uP9fBIVGSwIQJoGVDBRqk,2,0.667656,0.817297,-5.04,0.13037,80.1,0.016594,11,0.316924,1,4,0.863359,Se deg gÃ¥,0
Are We Faded - Original Mix,0doL8UdmZxXLsPro7TgRMH,['Keys N Krates'],Every Nite EP,173791,FALSE,6c1pBXHYjFcGQQNO5MMsdd,1,0.617596,0.906647,-6.637,0.330351,79.018,0.081412,5,0.101252,0,4,0.280796,Are We Faded (Original Mix),0
Ziltoidian Empire,72h5CqIg6PKrfu5re00Jhu,['Devin Townsend Project'],ZÂ_,385533,FALSE,54Xuca1P5nDqfKYZGDfHxl,1,0.313126,0.971769,-5.525,0.143756,119.968,0.000149,11,0.106083,0,4,0.344852,Ziltoidian Empire,0
Best Day Of My Life,5j9iuo3tMmQIfnEEQOOjxh,['American Authors'],"Oh, What A Life",194240,FALSE,0MlOPi3zIDMVrfA9R04Fe3,1,0.664456,0.726447,-7.54,0.031923,100.014,0.021167,2,0.093231,1,4,0.443838,Best Day Of My Life,0
"O - Live At Royce Hall, Los Angeles",1ZAcQoFIdhYdKx8FaR4c3t,['Coldplay'],Ghost Stories Live 2014,336066,FALSE,4gzpq5DPGxSnKTe4SA8HAU,1,0.308268,0.364366,-12.183,0.030558,135.975,0.377601,7,0.931656,0,4,0.071734,"O (Live At Royce Hall, Los Angeles)",0
Changes,5E9M19xu3ajER8Cn8EYDAr,['G-Unit'],The Beauty Of Independence,245869,TRUE,6evKD5JWJON3qPBJtUEmtY,1,0.489109,0.728122,-5.474,0.48464,65.326,0.485511,7,0.137047,1,3,0.368416,Changes,0
Sex Love Rock N Roll (SLR) - Feat. Tpain (Radio Edit),0cPFaUoMfcXqHt6Swc102O,"['Arash', 'T-Pain']",Sex Love Rock N Roll (SLR),180613,FALSE,7hQmAXAzWI6D350VTgkKTG,2,0.669917,0.963573,-1.811,0.042201,132.008,0.110256,11,0.278661,1,4,0.923243,Sex Love Rock N Roll (SLR) - Radio Edit,0
Blind Threats,1XM48g8LlfvcZVePDSStJR,"['Schoolboy Q', 'Raekwon']",Oxymoron (Deluxe),269653,TRUE,5IcR3N7QB1j6KBL8eImZ8m,2,0.711805,0.850594,-8.146,0.287666,94.112,0.320945,8,0.190979,0,4,0.451698,Blind Threats,0
Comfortable (Lightwaves Remix) [feat. X Ambassadors],1SoLHXzWhcjfPA8glakK2Y,"['The Knocks', 'X Ambassadors']",Comfortable (The Remixes),229565,FALSE,2x7EATekOPhFGRx3syMGEC,2,0.796865,0.671314,-12.803,0.072717,115.055,0.034006,5,0.244865,0,4,0.762937,Comfortable (Lightwaves Remix) [feat. X Ambassadors],0
Take Ãœ There (feat. Kiesza) - TJR Remix,7mgBAyhwLXvWx7QCQ75AzH,"['Jack \xc3\x9c', 'Skrillex', 'Diplo', 'Kiesza']",Take Ãœ There (feat. Kiesza) [Remixes],209538,FALSE,1HxJeLhIuegM3KgvPn8sTa,4,0.758492,0.822873,-0.928,0.042884,130.016,0.002661,2,0.077296,0,4,0.352752,Take Ãœ There (feat. Kiesza) [TJR Remix],0
